"","siteIDScheme","media","NSamples","minValue","meanValue","maxValue","sd","pH","TSS","TDS","Cu","Zn","conductivity"
"2552","ksm001MonitoringSite","river",5,72.1667,78.119,83.5714,4.1298,-5,26,911,3,0,4
"2553","ksm001MonitoringSite","vendor",2,4.3,4.6,4.9,0.424264068711929,1,12,937,1,1,0
"2554","ksm001MonitoringSite","vendor",3,0.008,0.01,0.012,0.001,2,14,1089,0,3,3
"2555","ksm002MonitoringSite","borehole",2,0.019,0.021,0.022,0.002,7,24,1017,1,0,4
"2556","ksm001MonitoringSite","river",2,6.92,8.35,9.78,2.022,6,16,1051,1,2,4
"2557","ksm001MonitoringSite","vendor",2,7.9,8.59,9.281,0.977,-7,7,921,1,0,2
"2558","ksm001MonitoringSite","borehole",1,62,62,62,0,-6,1,900,0,0,4
"2559","ksm001MonitoringSite","borehole",2,71.92,86.76,101.6,20.986,-4,19,1019,0,0,2
"2560","ksm001MonitoringSite","river",5,2.5,48.233,88,40.867,4,28,992,3,1,0
"2561","ksm001MonitoringSite","vendor",1,92,92,92,NA,0,13,913,1,3,0
"2562","ksm002MonitoringSite","river",2,0.003,0.004,0.006,0.001,3,4,970,2,0,4
"2563","ksm001MonitoringSite","vendor",2,64.25,66.812,69.375,3.623,-6,20,1051,3,3,3
"2564","ksm001MonitoringSite","borehole",2,84.5455,88.5,92.4545,5.5926,-3,6,928,1,3,1
"2565","ksm001MonitoringSite","river",2,5.32,8.29,11.26,4.20021,2,7,912,3,3,4
"2566","ksm001MonitoringSite","vendor",2,83.375,85.25,87.125,2.651,-2,22,942,3,1,1
"2567","ksm001MonitoringSite","vendor",7,74.636,86.863,101.5,9.512,-3,24,902,0,1,5
"2568","ksm001MonitoringSite","Tap",1,48.5,48.5,48.5,NA,7,11,1072,0,0,4
"2569","ksm001MonitoringSite","Tap",4,8,8.862,9.95,0.815,-1,3,988,0,2,3
"2570","ksm001MonitoringSite","Tap",1,9.766,9.766,9.766,NA,-1,19,1006,3,3,3
"2571","ksm001MonitoringSite","Tap",12,6.38,9.01667,11.21,11.03,-3,12,1100,2,2,4
"2572","ksm001MonitoringSite","Tap",2,4.933,5.133,5.333,0.282,3,6,962,0,1,1
"2573","ksm001MonitoringSite","river",1,0.0197,0.0197,0.0197,NA,-5,28,986,0,3,2
"2574","ksm001MonitoringSite","vendor",2,8.27,9.54,10.81,1.796,0,10,972,0,2,4
"2575","ksm001MonitoringSite","Tap",2,9.5,10.3167,11.1333,1.1549,1,2,913,1,3,0
"2576","ksm001MonitoringSite","vendor",5,47.666,65.202,72.75,10.203,-4,27,1109,1,3,2
"2577","ksm001MonitoringSite","Tap",2,7.4,8.5167,9.6333,1.5792,0,25,971,0,0,0
"2578","ksm001MonitoringSite","Tap",2,0.006,0.006,0.006,0,3,17,947,2,1,0
"2579","ksm001MonitoringSite","vendor",1,3.96,3.96,3.96,NA,1,7,1022,2,2,2
"2580","ksm001MonitoringSite","vendor",9,0.023,0.038,0.066,0.013,-1,30,931,3,1,0
"2581","ksm001MonitoringSite","borehole",3,8.281,10.872,12.816,2.335,7,12,1059,2,1,4
"2582","ksm001MonitoringSite","Tap",4,8.184,9.821,10.911,1.157,-7,27,1098,1,3,2
"2583","ksm001MonitoringSite","borehole",12,0,0.088872,0.512624,0.115,4,21,1020,3,2,1
"2584","ksm001MonitoringSite","vendor",2,0.006,0.006,0.006,0,-4,15,1079,3,3,3
"2585","ksm001MonitoringSite","borehole",9,0.015,0.046,0.138,0.037,6,14,1021,0,0,2
"2586","ksm002MonitoringSite","Tap",12,9.38,10.9658,13.79,1.15273,-6,30,998,3,1,3
"2587","ksm001MonitoringSite","borehole",1,58.25,58.25,58.25,NA,1,28,1103,1,1,2
"2588","ksm001MonitoringSite","river",6,7.675,9.373,11.166,1.383,-2,13,945,0,3,4
"2589","ksm001MonitoringSite","borehole",14,79,90,97,5.7912,6,13,1031,1,3,5
"2590","ksm001MonitoringSite","river",1,2.488,2.488,2.488,0,2,27,1070,3,0,2
"2591","ksm001MonitoringSite","river",13,67,88.6923,96,9.3842,4,14,1032,3,1,5
"2592","ksm001MonitoringSite","Tap",2,64.6667,71.0833,77.5,9.0745,-6,11,1064,1,3,3
"2593","ksm001MonitoringSite","vendor",3,10.3,10.6633,11.28,0.5369,-4,20,924,1,3,5
"2594","ksm001MonitoringSite","vendor",2,75.23,77.115,79,2.665,-7,17,920,3,3,0
"2595","ksm001MonitoringSite","Tap",1,70.5,70.5,70.5,0,5,11,925,2,2,1
"2596","ksm001MonitoringSite","vendor",2,0.039,0.045,0.052,0.009,-5,8,1051,3,0,0
"2597","ksm001MonitoringSite","vendor",4,0.028,0.034,0.046,0.008,2,27,1005,0,3,5
"2598","ksm001MonitoringSite","Tap",1,0.0077,0.0077,0.0077,NA,0,7,1077,3,3,0
"2599","ksm001MonitoringSite","borehole",4,5.6333,7.8021,8.675,1.4498,5,13,1095,3,0,0
"2600","ksm001MonitoringSite","borehole",1,7.3,7.3,7.3,0,5,24,989,0,1,0
"2601","ksm001MonitoringSite","river",2,5.566,5.683,5.8,0.165,-4,22,974,1,1,0
"2602","ksm002MonitoringSite","Tap",2,19,51.5,84,45.961,-7,3,1003,1,1,5
"2603","ksm001MonitoringSite","Tap",2,2.2087912,2.5466336,2.8846048,0.371,2,11,1000,0,3,3
"2604","ksm001MonitoringSite","river",5,0.018,0.038,0.086,0.028,-5,3,1053,0,3,2
"2605","ksm001MonitoringSite","river",3,8.55,9.316,9.85,0.68,-5,5,973,2,0,1
"2606","ksm001MonitoringSite","Tap",2,6.81,9.03,11.25,3.13955,-1,8,946,0,2,4
"2607","ksm001MonitoringSite","vendor",3,0.005,0.005,0.006,0,-5,13,1055,2,0,3
"2608","ksm001MonitoringSite","Tap",2,71.142,71.571,72,0.606,-4,2,1041,3,3,1
"2609","ksm001MonitoringSite","vendor",2,0.004,0.004,0.005,0.001,-1,25,998,1,1,5
"2610","ksm001MonitoringSite","river",4,43.2,55.7,69.4,10.854,-1,15,1034,0,0,2
"2611","ksm001MonitoringSite","vendor",2,3.97,4.745,5.52,1.096,-1,6,1080,1,1,2
"2612","ksm001MonitoringSite","Tap",2,3.885,4.401,4.916,0.729,-5,24,1109,3,0,2
"2613","ksm001MonitoringSite","vendor",9,59.25,72.1611,87,8.2105,2,19,1049,1,3,0
"2614","ksm001MonitoringSite","borehole",2,0.016,0.02,0.024,0.005,5,20,1045,0,2,5
"2615","ksm001MonitoringSite","vendor",3,0.031,0.035,0.041,0.005,-5,29,1073,1,3,5
"2616","ksm001MonitoringSite","vendor",5,46.25,61.016,82.833,14.311,2,14,1008,3,0,3
"2617","ksm001MonitoringSite","river",5,0.046,0.083,0.153,0.042,1,13,910,2,0,4
"2618","ksm001MonitoringSite","borehole",11,8,59.697,90.333,29.87,0,14,1058,2,1,2
"2619","ksm001MonitoringSite","river",4,4.8,6.9438,9.3,1.994,4,23,1069,0,3,4
"2620","ksm001MonitoringSite","borehole",1,87.5,87.5,87.5,NA,3,30,903,2,1,5
"2621","ksm001MonitoringSite","river",13,1.5,79.1923,93,23.9788,-4,7,925,0,3,4
"2622","ksm001MonitoringSite","vendor",1,67.4,67.4,67.4,NA,7,2,1001,1,2,3
"2623","ksm001MonitoringSite","borehole",12,5.64,7.955,9.84,1.284,-7,26,1011,0,2,0
"2624","ksm001MonitoringSite","river",2,0.0138,0.0144,0.015,8e-04,-1,21,1073,0,3,5
"2625","ksm001MonitoringSite","borehole",5,0.036,0.05,0.06,0.011,-2,10,956,2,1,2
"2626","ksm001MonitoringSite","river",1,6.957,6.957,6.957,NA,7,11,1043,3,0,5
"2627","ksm001MonitoringSite","vendor",2,7.55,9.07,10.59,2.149,4,9,1047,2,3,3
"2628","ksm001MonitoringSite","borehole",2,68.3333,72.5,76.6667,5.8926,2,3,948,2,0,3
"2629","ksm001MonitoringSite","Tap",6,0.052,0.063,0.077,0.008,-1,8,901,0,0,3
"2630","ksm001MonitoringSite","river",1,0.002576,0.002576,0.002576,NA,1,14,1021,1,1,2
"2631","ksm001MonitoringSite","vendor",10,0.011,0.014,0.018,0.002,-2,11,916,2,2,1
"2632","ksm001MonitoringSite","vendor",2,8.687,9.425,10.162,1.043,-7,27,929,1,3,4
"2633","ksm001MonitoringSite","borehole",5,40,77.233,106,27.415,3,6,978,0,0,1
"2634","ksm001MonitoringSite","Tap",2,0.001,0.001,0.002,0,6,3,966,3,3,2
"2635","ksm001MonitoringSite","Tap",3,33.5,67,89,29.483,4,25,1005,1,2,0
"2636","ksm001MonitoringSite","river",4,6.58,7.87,9.3,1.121,-7,23,932,3,2,0
"2637","ksm001MonitoringSite","borehole",2,80.857,82.571,84.285,2.424,3,8,1018,1,2,5
"2638","ksm001MonitoringSite","river",2,0.082432,0.104328,0.126224,0.024,7,15,1102,2,1,3
"2639","ksm001MonitoringSite","borehole",2,0.011,0.012,0.013,0.001,6,22,1015,3,2,3
"2640","ksm001MonitoringSite","river",2,77,78.055,79.111,1.492,2,19,1040,3,0,0
"2641","ksm001MonitoringSite","Tap",6,0.6,1.883,4.1,1.284,0,12,938,2,3,2
"2642","ksm001MonitoringSite","borehole",3,0.0137,0.0184,0.0277,0.008,-4,12,934,0,2,0
"2643","ksm001MonitoringSite","vendor",5,0.005,0.006,0.008,0.001,4,7,945,1,0,5
"2644","ksm001MonitoringSite","Tap",2,55.4,60.7,66,7.495,7,21,987,2,0,1
"2645","ksm001MonitoringSite","borehole",2,0.00644,0.704536,1.401344,0.766,-6,3,940,0,3,0
"2646","ksm001MonitoringSite","river",1,0.0248584,0.0248584,0.0248584,0,-3,4,1076,0,0,3
"2647","ksm001MonitoringSite","vendor",2,5.9,7.42,8.94,2.149,2,10,1055,3,1,3
"2648","ksm001MonitoringSite","river",5,38.9,65.271,95.25,21.361,1,10,907,1,3,2
"2649","ksm001MonitoringSite","river",1,81,81,81,0,7,11,950,3,2,5
"2650","ksm001MonitoringSite","borehole",2,8.133,8.183,8.233,0.07,-7,1,978,2,1,0
"2651","ksm001MonitoringSite","vendor",1,64.6667,64.6667,64.6667,NA,4,5,936,0,2,5
"2652","ksm001MonitoringSite","river",2,0.013,0.0153,0.0175,0.0032,-6,13,1024,3,2,3
"2653","ksm001MonitoringSite","borehole",2,82.916,83,83.083,0.11785,-2,8,1095,2,3,1
"2654","ksm001MonitoringSite","vendor",4,55.4,70.895,87.6,13.555,-5,6,1019,3,0,4
"2655","ksm001MonitoringSite","vendor",1,5.6333,5.6333,5.6333,NA,0,6,984,3,0,3
"2656","ksm001MonitoringSite","river",7,64.25,72.924,80.333,6.421,-3,14,1016,3,1,2
"2657","ksm001MonitoringSite","Tap",5,8.808,9.413,10.05,0.535,-2,10,1097,2,1,5
"2658","ksm001MonitoringSite","vendor",2,0.018,0.028,0.038,0.014,2,29,1025,0,3,2
"2659","ksm001MonitoringSite","river",4,8.5,9.883,12.85,2.00707,-6,21,1093,0,3,2
"2660","ksm001MonitoringSite","vendor",2,0.075,0.076,0.077,0,2,6,966,0,2,4
"2661","ksm002MonitoringSite","vendor",3,90,97.3333,104,7.0238,0,12,988,2,3,2
"2662","ksm001MonitoringSite","river",4,7.6,10.475,12.6,2.0966,5,13,1045,2,1,0
"2663","ksm001MonitoringSite","Tap",3,56.8,77.266,89,17.788,-1,10,1096,0,1,4
"2664","ksm001MonitoringSite","vendor",2,56.4286,66.3571,76.2857,14.0411,5,8,1038,1,2,5
"2665","ksm001MonitoringSite","borehole",2,7.64,8.497,9.355,1.213,-3,21,1085,3,1,4
"2666","ksm001MonitoringSite","vendor",3,0.004,0.004,0.005,0,2,19,957,2,0,5
"2667","ksm001MonitoringSite","vendor",3,56.4,65.133,78.8,11.987,-7,6,1102,0,1,3
"2668","ksm001MonitoringSite","borehole",2,0.010304,0.043792,0.078568,0.037,-5,17,908,1,2,1
"2669","ksm001MonitoringSite","river",3,15.333,63.5,89.666,41.765,-3,10,1093,0,0,4
"2670","ksm001MonitoringSite","borehole",4,6.125,8.395,9.233,1.515,5,25,1029,1,0,4
"2671","ksm001MonitoringSite","Tap",2,5.283,7.166,9.05,2.663,-7,14,1001,1,0,1
"2672","ksm001MonitoringSite","borehole",2,0.033488,0.106904,0.18032,0.08,-5,15,1015,2,2,3
"2673","ksm001MonitoringSite","Tap",1,7.775,7.775,7.775,NA,-7,2,1022,3,0,1
"2674","ksm001MonitoringSite","vendor",2,0.024,0.031,0.038,0.009,-1,18,950,1,2,3
"2675","ksm001MonitoringSite","Tap",2,0.014168,0.023184,0.0322,0.01,4,9,951,3,1,1
"2676","ksm001MonitoringSite","river",3,30.3333,31.5556,33.3333,1.5753,2,22,1036,3,0,3
"2677","ksm001MonitoringSite","borehole",3,70.8,85.133,95.2,12.747,-6,7,1012,2,3,5
"2678","ksm001MonitoringSite","vendor",2,44.6,68.8,93,34.224,-6,30,1035,3,3,3
"2679","ksm001MonitoringSite","vendor",2,8.77,8.925,9.081,0.22,-4,17,906,1,3,1
"2680","ksm001MonitoringSite","borehole",2,7.5,8.392,9.285,1.262,-2,13,996,0,3,4
"2681","ksm001MonitoringSite","Tap",3,0.019,0.022,0.025,0.003,6,15,952,2,1,1
"2682","ksm001MonitoringSite","river",2,0.030912,0.034776,0.03864,0.004,-1,7,951,0,1,5
"2683","ksm001MonitoringSite","vendor",10,5.5,7.455,9.3,1.482,6,25,945,2,3,1
"2684","ksm001MonitoringSite","vendor",3,4.2667,6.9111,8.4667,2.302,1,6,991,1,1,0
"2685","ksm001MonitoringSite","borehole",2,0.034,0.04,0.046,0.009,0,30,1032,1,0,5
"2686","ksm002MonitoringSite","borehole",2,0.75,4.675,8.6,5.55,-2,18,980,3,2,1
"2687","ksm001MonitoringSite","river",2,0.018,0.026,0.034,0.011,-1,19,1107,2,1,3
"2688","ksm001MonitoringSite","borehole",3,33.375,46.744,55.857,11.829,7,7,946,1,1,5
"2689","ksm001MonitoringSite","river",3,0.005,0.0082,0.011,0.003,2,4,1014,0,2,1
"2690","ksm001MonitoringSite","borehole",5,5.78,7.1093,8.85,1.2681,-7,22,936,2,0,3
"2691","ksm001MonitoringSite","borehole",3,7.99,8.61,9.74,0.98,-6,15,1102,3,2,3
"2692","ksm001MonitoringSite","vendor",4,0.073,0.092,0.115,0.018,2,22,985,0,1,5
"2693","ksm001MonitoringSite","Tap",6,35.35,68.058,93,20.961,-7,29,1063,1,2,5
"2694","ksm001MonitoringSite","vendor",3,40.666,64.222,80.666,20.926,2,21,980,1,1,2
"2695","ksm002MonitoringSite","borehole",2,63.666,64.666,65.666,1.414,-5,6,1034,0,3,5
"2696","ksm001MonitoringSite","river",3,0.009016,0.036064,0.085008,0.032,2,30,906,3,1,5
"2697","ksm001MonitoringSite","borehole",1,0.014,0.014,0.014,0,-1,29,920,1,2,2
"2698","ksm001MonitoringSite","borehole",2,0.01932,0.020608,0.020608,0,7,8,1042,2,2,0
"2699","ksm001MonitoringSite","borehole",5,0.001288,0.030912,0.068264,0.023,-5,6,930,2,1,3
"2700","ksm001MonitoringSite","borehole",2,7.822,8.454,9.085,0.893,3,19,1019,3,2,5
"2701","ksm001MonitoringSite","borehole",4,4.018,5.909,7.88,1.5783,-2,27,926,1,3,2
"2702","ksm001MonitoringSite","Tap",3,58,76.6667,89,16.4418,-2,4,1006,2,3,4
"2703","ksm001MonitoringSite","borehole",1,0.0145544,0.0145544,0.0145544,NA,-7,5,1027,0,3,5
"2704","ksm001MonitoringSite","Tap",2,77,86,95,12.727,-7,13,987,0,1,0
"2705","ksm001MonitoringSite","vendor",1,76,76,76,0,-2,20,1029,3,2,4
"2706","ksm002MonitoringSite","vendor",2,0.010304,0.011592,0.01288,0.001,6,4,1038,1,1,0
"2707","ksm001MonitoringSite","river",7,0.073416,0.110768,0.151984,0.021,3,9,901,2,3,3
"2708","ksm001MonitoringSite","vendor",2,7.38,9.87,12.36,3.5214,-1,24,972,0,3,1
"2709","ksm001MonitoringSite","Tap",1,0.02,0.02,0.02,NA,5,17,1035,0,0,0
"2710","ksm001MonitoringSite","river",9,0.055384,0.322,1.361416,0.358,3,8,925,2,0,4
"2711","ksm001MonitoringSite","Tap",2,5,5.816,6.633,1.154,3,13,1105,1,2,2
"2712","ksm001MonitoringSite","Tap",2,72.222,73.811,75.4,2.247,-6,11,969,1,1,2
"2713","ksm001MonitoringSite","Tap",8,3.766,7.638,11.942,2.8,-7,9,1024,2,3,3
"2714","ksm001MonitoringSite","borehole",4,5.168,7.1,8.8,1.512,-6,16,1003,0,3,1
"2715","ksm001MonitoringSite","vendor",1,0.026,0.026,0.026,NA,7,26,1003,1,2,1
"2716","ksm001MonitoringSite","vendor",2,0.008,0.009,0.01,0.001,5,19,1055,1,1,2
"2717","ksm001MonitoringSite","vendor",2,8.7,8.825,8.95,0.1768,-6,22,1093,2,0,2
"2718","ksm002MonitoringSite","Tap",4,6.67,8.24,10.6,1.55,-3,1,905,1,1,3
"2719","ksm001MonitoringSite","Tap",1,10.85,10.85,10.85,NA,-3,1,901,0,2,5
"2720","ksm001MonitoringSite","vendor",1,0.211232,0.211232,0.211232,NA,5,12,1010,3,3,5
"2721","ksm002MonitoringSite","Tap",12,4.4,9.5,13.9,3.1,-5,23,998,1,0,3
"2722","ksm001MonitoringSite","vendor",1,0.0127,0.0127,0.0127,NA,5,20,915,2,3,4
"2723","ksm001MonitoringSite","Tap",3,3.85,6.066,9.316,2.876,-4,4,956,3,3,5
"2724","ksm001MonitoringSite","vendor",4,24.333,37.798,56.2,13.368,-7,28,935,1,2,1
"2725","ksm001MonitoringSite","river",4,0.012,0.012,0.013,0,-5,21,938,1,3,0
"2726","ksm001MonitoringSite","borehole",6,0.015,0.023,0.044,0.01,-1,19,1037,2,3,1
"2727","ksm001MonitoringSite","borehole",6,0.002576,0.009016,0.016744,0.00405,-2,27,1028,3,3,3
"2728","ksm001MonitoringSite","borehole",2,61.142,63.696,66.25,3.611,1,27,1031,3,2,1
"2729","ksm001MonitoringSite","vendor",1,83.1,83.1,83.1,NA,3,14,1030,2,3,4
"2730","ksm001MonitoringSite","river",4,0.048,0.053,0.057,0.004,7,7,925,1,0,4
"2731","ksm002MonitoringSite","river",2,0.006,0.006,0.006,0,3,10,1021,1,1,4
"2732","ksm001MonitoringSite","vendor",2,0.012,0.014,0.016,0.003,-6,23,904,1,2,3
"2733","ksm001MonitoringSite","Tap",1,9.78,9.78,9.78,0,-4,12,1088,3,0,1
"2734","ksm001MonitoringSite","vendor",3,14.25,43.972,87,38.156,-6,4,1105,3,2,2
"2735","ksm001MonitoringSite","river",1,77.333,77.333,77.333,NA,3,10,907,3,2,2
"2736","ksm002MonitoringSite","river",1,0.01,0.01,0.01,NA,3,4,1037,3,1,4
"2737","ksm001MonitoringSite","river",2,0.005,0.006,0.008,0.002,4,12,1060,1,1,0
"2738","ksm001MonitoringSite","vendor",4,27.833,54.083,77.666,20.742,-4,12,1060,2,3,3
"2739","ksm001MonitoringSite","borehole",4,0.002576,0.011592,0.024472,0.007,6,25,959,1,3,4
"2740","ksm001MonitoringSite","river",2,0.003864,0.018032,0.0322,0.015,-7,18,939,0,3,1
"2741","ksm001MonitoringSite","borehole",2,7.781,9.419,11.057,2.316,6,14,921,2,3,1
"2742","ksm001MonitoringSite","Tap",2,9.536,11.65,13.763,2.989,-7,27,922,2,0,4
"2743","ksm001MonitoringSite","borehole",2,79.3333,80.1333,80.9333,1.1314,-5,21,977,2,0,0
"2744","ksm001MonitoringSite","borehole",2,0.069,0.076,0.084,0.01,-4,5,964,3,2,3
"2745","ksm001MonitoringSite","Tap",4,0.036,0.04,0.043,0.003,-3,10,1029,0,1,3
"2746","ksm001MonitoringSite","river",2,0.020608,0.020608,0.021896,0,0,24,911,0,2,1
"2747","ksm001MonitoringSite","borehole",6,62,71.287,78.125,6.088,-7,14,956,0,1,2
"2748","ksm002MonitoringSite","vendor",2,0.009016,0.015456,0.021896,0.006,-7,17,973,0,1,4
"2749","ksm001MonitoringSite","borehole",8,0.009016,0.03864,0.08372,0.02,-2,5,1049,3,3,3
"2750","ksm001MonitoringSite","vendor",2,42.875,54.651,66.428,16.654,-3,22,944,1,0,3
"2751","ksm001MonitoringSite","borehole",2,50.285,57.865,65.444,10.718,0,18,1080,3,3,5
"2752","ksm001MonitoringSite","river",3,8,9.053,10.5,1.295,-3,16,917,2,2,3
"2753","ksm001MonitoringSite","borehole",2,0.006,0.006,0.006,0,6,24,912,2,3,1
"2754","ksm002MonitoringSite","river",2,7.94,8.55,9.16,0.862,2,20,944,3,3,5
"2755","ksm001MonitoringSite","Tap",4,91,92.25,94,1.2583,3,5,976,1,3,4
"2756","ksm001MonitoringSite","Tap",1,11.7,11.7,11.7,0,-1,9,961,3,0,3
"2757","ksm001MonitoringSite","river",8,4.262,6.134,9.266,1.773,1,7,1020,1,3,2
"2758","ksm001MonitoringSite","Tap",3,67.333,70.963,77.777,5.906,-6,26,969,1,2,0
"2759","ksm001MonitoringSite","borehole",4,70.666,88.666,96,12.037,7,11,1049,2,2,1
"2760","ksm001MonitoringSite","borehole",3,79,86.666,99.5,11.184,3,5,1087,1,1,5
"2761","ksm001MonitoringSite","borehole",5,12,45.357,92.25,41.616,-5,12,960,3,2,1
"2762","ksm001MonitoringSite","borehole",3,0.008,0.009,0.01,0,6,6,919,3,0,4
"2763","ksm001MonitoringSite","Tap",1,0.01,0.01,0.01,NA,-2,13,1023,3,2,0
"2764","ksm001MonitoringSite","vendor",2,1,3.515,6.38,4.052,-5,9,906,0,1,4
"2765","ksm001MonitoringSite","Tap",3,14.333,30.555,45.5,15.622,-3,9,1095,3,1,3
"2766","ksm001MonitoringSite","borehole",3,7.72,8.224,9.033,0.707,0,11,1026,1,3,3
"2767","ksm001MonitoringSite","river",4,0.057,0.078,0.11,0.023,-2,25,1050,2,1,4
"2768","ksm001MonitoringSite","river",3,74,78.066,85.2,6.197,0,11,1107,0,0,2
"2769","ksm001MonitoringSite","river",2,0.016,0.016,0.017,0,-7,16,997,3,0,1
"2770","ksm001MonitoringSite","Tap",3,6.5,7.057,7.5,0.509,-3,24,1077,0,3,0
"2771","ksm001MonitoringSite","river",1,8.1111,8.1111,8.1111,0,-6,8,1012,1,0,2
"2772","ksm001MonitoringSite","borehole",2,0.0067,0.0082,0.0097,0.0021,0,30,997,3,1,1
"2773","ksm001MonitoringSite","borehole",1,7.5667,7.5667,7.5667,0,1,4,1028,2,2,4
"2774","ksm001MonitoringSite","river",1,12.109,12.109,12.109,NA,-5,4,917,0,2,4
"2775","ksm001MonitoringSite","vendor",2,8.016,10.608,13.2,3.66517,-2,21,1033,1,3,5
"2776","ksm001MonitoringSite","vendor",2,0.013,0.014,0.015,0.001,4,13,1103,2,2,5
"2777","ksm001MonitoringSite","Tap",8,0.239568,0.582176,0.904176,0.185,-1,1,969,2,0,1
"2778","ksm001MonitoringSite","Tap",3,8.781,9.366,10.118,0.683,6,9,1098,1,2,2
"2779","ksm001MonitoringSite","Tap",2,0.002576,0.005152,0.009016,0.003,2,22,918,1,0,5
"2780","ksm001MonitoringSite","Tap",1,0.008,0.008,0.008,NA,5,13,1004,1,3,2
"2781","ksm001MonitoringSite","Tap",2,43.333,69.916,96.5,37.594,5,16,994,3,1,1
"2782","ksm001MonitoringSite","river",4,28.5,64.25,85.5,24.743,-5,23,1059,1,2,1
"2783","ksm001MonitoringSite","river",2,72.6,75.966,79.333,4.761,-1,29,1022,2,2,2
"2784","ksm001MonitoringSite","Tap",2,6.628,7.089,7.55,0.651,-3,11,1074,3,3,3
"2785","ksm001MonitoringSite","Tap",5,0.008,0.009,0.012,0.001,3,1,974,1,1,4
"2786","ksm001MonitoringSite","borehole",2,70.75,81.16,91.571,14.723,-4,21,1093,1,1,0
"2787","ksm001MonitoringSite","borehole",1,0.0081144,0.0081144,0.0081144,0,0,17,1001,1,3,4
"2788","ksm001MonitoringSite","Tap",1,57.875,57.875,57.875,NA,6,22,993,2,3,1
"2789","ksm001MonitoringSite","Tap",2,7.94,8.26,8.58,0.452,-7,16,913,0,3,5
"2790","ksm001MonitoringSite","borehole",3,0.004,0.005,0.005,0,-6,21,980,1,0,2
"2791","ksm001MonitoringSite","borehole",2,0.013,0.017,0.022,0.006,4,9,974,3,0,0
"2792","ksm001MonitoringSite","Tap",4,0.017,0.02,0.023,0.003,6,22,1015,3,0,5
"2793","ksm001MonitoringSite","river",4,53.5,67.75,78,11.287,-5,13,981,1,3,2
"2794","ksm001MonitoringSite","river",4,57.5,71.75,87.5,12.36,4,15,902,3,0,4
"2795","ksm001MonitoringSite","borehole",5,14.333,32.736,49.6,15.684,5,6,1086,3,1,3
"2796","ksm001MonitoringSite","river",1,0.0273056,0.0273056,0.0273056,NA,-5,26,957,2,3,4
"2797","ksm001MonitoringSite","Tap",5,6.725,9.329,12.075,2.36381,5,6,936,0,0,1
"2798","ksm001MonitoringSite","vendor",2,0.00644,0.015456,0.02576,0.01,5,5,1009,3,0,4
"2799","ksm001MonitoringSite","Tap",3,73.75,79.075,87.75,7.576,6,21,1053,3,1,5
"2800","ksm001MonitoringSite","Tap",9,0.004,0.0056,0.008,0.0015,-4,24,993,1,3,0
"2801","ksm001MonitoringSite","borehole",5,4.1,7.12,10.9,3.074,-6,27,1058,1,3,3
"2802","ksm001MonitoringSite","Tap",5,0.004,0.007,0.011,0.002,0,29,987,2,1,2
"2803","ksm001MonitoringSite","Tap",2,25.666,55.166,84.666,41.719,-7,10,944,3,3,4
"2804","ksm001MonitoringSite","river",2,82.444,83.722,85,1.807,-1,21,929,1,0,0
"2805","ksm001MonitoringSite","borehole",9,3.6,6.79,10.6,2.393,-4,17,1071,3,3,3
"2806","ksm001MonitoringSite","Tap",2,70.125,71.108,72.09,1.39,6,9,999,1,2,5
"2807","ksm002MonitoringSite","river",2,0.009016,0.216384,0.42504,0.228,-2,18,1068,1,2,4
"2808","ksm001MonitoringSite","river",1,59,59,59,NA,2,1,1015,0,1,5
"2809","ksm001MonitoringSite","Tap",4,8.4,10.125,12.2,1.5777,1,6,917,2,1,5
"2810","ksm001MonitoringSite","borehole",4,0.0113344,0.0172592,0.020608,0.0033,5,2,1108,3,1,3
"2811","ksm001MonitoringSite","Tap",2,85.82,89.91,94,5.784,-3,23,937,1,1,1
"2812","ksm001MonitoringSite","Tap",2,5.844,7.344,8.844,2.121,4,2,1046,2,3,0
"2813","ksm001MonitoringSite","river",2,47,65.625,84.25,26.339,7,18,899,1,0,5
"2814","ksm001MonitoringSite","borehole",6,8.208,9.537,11.357,1.272,-6,15,990,1,3,4
"2815","ksm001MonitoringSite","Tap",2,5.75,7.375,9,2.298,0,25,1110,1,3,2
"2816","ksm001MonitoringSite","river",4,74.4286,78.3214,85.8571,5.2907,7,21,1084,2,1,4
"2817","ksm001MonitoringSite","river",2,0.001288,0.001288,0.002576,0.001,3,3,1000,2,2,2
"2818","ksm001MonitoringSite","borehole",4,0.014,0.023,0.04,0.011,7,2,1042,0,0,4
"2819","ksm001MonitoringSite","river",2,0.041,0.042,0.044,0.002,-6,20,1024,2,1,2
"2820","ksm001MonitoringSite","Tap",2,0.01,0.01,0.011,0.00023,2,21,965,2,0,1
"2821","ksm001MonitoringSite","Tap",2,0.005,0.006,0.007,0.001,6,1,1033,2,3,5
"2822","ksm001MonitoringSite","borehole",2,6.34,7.115,7.89,1.096,-7,20,1109,0,3,1
"2823","ksm001MonitoringSite","river",4,0.0327,0.0377,0.0465,0.0062,-1,8,1073,1,3,4
"2824","ksm001MonitoringSite","Tap",1,0.0105616,0.0105616,0.0105616,0,5,10,1006,2,3,1
"2825","ksm001MonitoringSite","borehole",1,5.3,5.3,5.3,0,-2,19,1055,0,1,2
"2826","ksm001MonitoringSite","Tap",6,70.857,81.666,93.285,9.24,1,27,1054,2,0,3
